-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.885,  0.445
-183.742, 80.059, 1.033,  0.478
-183.718, 80.023, 1.133,  0.511
-183.689, 79.984, 1.264,  0.544
-183.657, 79.941, 1.402,  0.577
-183.620, 79.896, 1.501,  0.610
-183.582, 79.850, 1.545,  0.643
-183.543, 79.805, 1.584,  0.676
-183.502, 79.758, 1.638,  0.709
-183.462, 79.712, 1.656,  0.742
-183.423, 79.666, 1.663,  0.775
-183.384, 79.620, 1.662,  0.808
-183.344, 79.575, 1.655,  0.841
-183.305, 79.531, 1.647,  0.874
-183.266, 79.487, 1.639,  0.907
-183.227, 79.444, 1.636,  0.940
-183.188, 79.401, 1.640,  0.973
-183.149, 79.358, 1.649,  1.006
-183.110, 79.314, 1.660,  1.039
-183.072, 79.270, 1.669,  1.072
-183.034, 79.226, 1.673,  1.105
-182.997, 79.182, 1.673,  1.138
-182.961, 79.137, 1.671,  1.171
-182.925, 79.093, 1.672,  1.204
-182.890, 79.048, 1.675,  1.237
-182.855, 79.003, 1.681,  1.270
-182.821, 78.957, 1.686,  1.303
-182.788, 78.911, 1.690,  1.336
-182.755, 78.864, 1.693,  1.369
-182.723, 78.817, 1.695,  1.402
-182.692, 78.769, 1.698,  1.435
-182.662, 78.721, 1.701,  1.468
-182.632, 78.672, 1.706,  1.501
-182.603, 78.623, 1.710,  1.534
-182.575, 78.573, 1.716,  1.567
-182.548, 78.523, 1.715,  1.600
-182.521, 78.473, 1.713,  1.633
-182.494, 78.422, 1.717,  1.666
-182.469, 78.370, 1.724,  1.699
-182.444, 78.318, 1.732,  1.732
